"","employees","salaries.14","salaries.15","raise","got.raise"
"62","Employee 62",43567.4794204533,47093.5216080397,-3526.04218758643,FALSE
"63","Employee 63",49248.0246117339,46959.5544598997,2288.47015183419,TRUE
"64","Employee 64",42337.9007447511,45981.6550696269,-3643.75432487577,FALSE
"65","Employee 65",46197.192419786,49097.6571827196,-2900.46476293355,FALSE
"66","Employee 66",47461.306815967,37699.1574093699,9762.14940659702,TRUE
"67","Employee 67",47486.8523632176,50901.3776551001,-3414.52529188246,FALSE
"68","Employee 68",47009.9159609526,44736.3583464175,2273.55761453509,TRUE
"69","Employee 69",41594.3363914266,43638.6841535568,-2044.3477621302,FALSE
"70","Employee 70",41992.6401227713,43449.1368755698,-1456.49675279856,FALSE
"71","Employee 71",43426.8678328954,48849.4346407242,-5422.56680782884,FALSE
"72","Employee 72",46824.9071063474,42719.6623245254,4105.24478182197,TRUE
"73","Employee 73",42219.7739453986,35204.215189442,7015.55875595659,TRUE
"74","Employee 74",41702.6569833979,51267.8576586768,-9565.2006752789,FALSE
"75","Employee 75",41628.4134355374,48171.7699137516,-6543.35647821426,FALSE
"76","Employee 76",41935.4047090746,35462.3763659038,6473.02834317088,TRUE
"77","Employee 77",40691.4436537772,50615.8553855494,-9924.41173177212,FALSE
"78","Employee 78",46564.2872382887,48016.9029603712,-1452.61572208256,FALSE
"79","Employee 79",42818.3805546723,33214.4871051423,9603.89344953001,TRUE
"80","Employee 80",42642.6137401722,41605.793137569,1036.82060260326,TRUE
"81","Employee 81",41468.9423912205,38986.0747545026,2482.86763671786,TRUE
"82","Employee 82",47740.9664774314,41870.0986495242,5870.8678279072,TRUE
"83","Employee 83",48517.0938936062,57387.4445841648,-8870.35069055855,FALSE
"84","Employee 84",40647.6182327606,46991.381526459,-6343.76329369843,FALSE
"85","Employee 85",44129.1864728555,45778.0104130507,-1648.82394019514,FALSE
"86","Employee 86",41435.9822147526,36609.4830608927,4826.49915385991,TRUE
"87","Employee 87",41933.4254460409,34541.1612512544,7392.26419478655,TRUE
"88","Employee 88",40285.3662450798,35668.6653452925,4616.70089978725,TRUE
"89","Employee 89",48711.3613402471,54668.4827050194,-5957.12136477232,FALSE
"90","Employee 90",49583.233287558,40546.7498209327,9036.48346662521,TRUE
"91","Employee 91",43824.4042196311,37993.6033696868,5830.80084994435,TRUE
"92","Employee 92",49232.4634315446,54479.0367316455,-5246.57330010086,FALSE
"93","Employee 93",46603.1920816749,53462.8157457337,-6859.62366405874,FALSE
"94","Employee 94",49385.7149942778,54610.9034703113,-5225.18847603351,FALSE
"95","Employee 95",41444.3820598535,42716.608454939,-1272.22639508545,FALSE
"96","Employee 96",42681.4059866592,39223.7508809194,3457.65510573983,TRUE
"97","Employee 97",46308.7676116265,40232.2660549544,6076.50155667216,TRUE
"98","Employee 98",41319.9105788954,35700.5566800945,5619.35389880091,TRUE
"99","Employee 99",40140.8504741266,31523.7097162753,8617.1407578513,TRUE
"100","Employee 100",46265.5299878679,37849.82991172,8415.70007614791,TRUE
